Drug Name,Drug Class,Indication,Side Effects,Dosage Form,Dosage Strength,Prescription Status,Manufacturer,Approval Year,Description,Price (USD),Market Status
Drug-9536,Antihypertensive,Blood Pressure Control,"Fatigue, Stomach Upset, Drowsiness",Gel,846 mg,OTC,HealthPlus,2012,A antihypertensive used for blood pressure control.,91.82,Active
Drug-6422,Antiseptic,Blood Pressure Control,"Headache, Fatigue",Gel,348 mg,Prescription,MediLife,1986,A antiseptic used for blood pressure control.,299.23,Active
Drug-4153,Sedative,Pain Relief,"Nausea, Drowsiness",Capsule,868 mg,Prescription,PharmaCorp,2018,A sedative used for pain relief.,264.57,Discontinued
Drug-6125,Sedative,Allergy Relief,"Nausea, Stomach Upset, Drowsiness",Tablet,,OTC,BioSynth,2014,A sedative used for allergy relief.,137.25,Active
Drug-4676,Antidiabetic,Fungal Infection,"Stomach Upset, Drowsiness",Capsule,602 mg,OTC,HealthPlus,2018,A antidiabetic used for fungal infection.,112.67,Discontinued
Drug-5699,Antihistamine,Diabetes,Headache,Cream,854 mg,OTC,MediLife,2021,A antihistamine used for diabetes.,135.62,Discontinued
Drug-8307,Antiseptic,Infection,Headache,Gel,256 mg,OTC,MediLife,2006,A antiseptic used for infection.,153.13,Active
Drug-2287,Antidepressant,Diabetes,Nausea,Gel,139 mg,OTC,MediLife,1999,A antidepressant used for diabetes.,373.47,Active
Drug-3415,Antibiotic,Infection,"Dizziness, Headache, Nausea",Cream,583 mg,OTC,Global Remedies,2009,A antibiotic used for infection.,424.88,Discontinued
Drug-6777,Antibiotic,Blood Pressure Control,Fatigue,Gel,549 mg,Prescription,HealthPlus,1999,A antibiotic used for blood pressure control.,382.52,Active
Drug-2550,Antibiotic,Pain Relief,"Nausea, Headache",Capsule,513 mg,Prescription,PharmaCorp,2013,A antibiotic used for pain relief.,396.62,Active
Drug-7500,Antibiotic,Diabetes,"Drowsiness, Dizziness, Nausea",Tablet,972 mg,Prescription,BioSynth,1997,A antibiotic used for diabetes.,32.28,Discontinued
Drug-2681,Antihypertensive,Infection,"Nausea, Fatigue",Cream,451 mg,Prescription,Global Remedies,2018,A antihypertensive used for infection.,142.7,Discontinued
Drug-5690,Antidiabetic,Blood Pressure Control,"Headache, Dizziness",Cream,206 mg,OTC,HealthPlus,2021,A antidiabetic used for blood pressure control.,19.26,Active
Drug-7995,Sedative,Wound Cleaning,"Drowsiness, Headache",,577 mg,OTC,PharmaCorp,2000,A sedative used for wound cleaning.,93.55,Discontinued
Drug-1186,Sedative,Depression,"Headache, Fatigue",Injection,170 mg,OTC,BioSynth,2014,A sedative used for depression.,317.65,Discontinued
Drug-7494,Antiviral,Diabetes,Stomach Upset,Gel,616 mg,OTC,Global Remedies,2008,A antiviral used for diabetes.,456.15,Discontinued
Drug-3409,Antihypertensive,Diabetes,"Fatigue, Drowsiness",Capsule,740 mg,OTC,Global Remedies,2000,A antihypertensive used for diabetes.,9.9,Active
Drug-5721,Antiviral,Depression,"Fatigue, Headache",Syrup,150 mg,OTC,MediLife,2020,A antiviral used for depression.,140.7,Active
Drug-8607,Antiseptic,Anxiety Reduction,"Headache, Stomach Upset",Injection,651 mg,OTC,PharmaCorp,1990,A antiseptic used for anxiety reduction.,341.37,Active
Drug-1021,Antihistamine,Fungal Infection,"Dizziness, Fatigue, Stomach Upset",Cream,118 mg,OTC,PharmaCorp,2005,A antihistamine used for fungal infection.,70.32,Discontinued
Drug-9547,Antifungal,Wound Cleaning,"Stomach Upset, Dizziness, Drowsiness",Cream,176 mg,OTC,PharmaCorp,1981,A antifungal used for wound cleaning.,310.17,Active
Drug-1633,Antibiotic,Fungal Infection,Fatigue,Cream,322 mg,OTC,BioSynth,1986,A antibiotic used for fungal infection.,330.64,Discontinued
Drug-1713,Sedative,Pain Relief,"Dizziness, Nausea, Headache",Capsule,427 mg,OTC,MediLife,1982,A sedative used for pain relief.,430.03,Active
Drug-3756,Antifungal,Fungal Infection,"Stomach Upset, Nausea",Tablet,599 mg,Prescription,BioSynth,2000,A antifungal used for fungal infection.,390.29,Discontinued
Drug-1162,Antidiabetic,Fungal Infection,Drowsiness,Capsule,329 mg,OTC,BioSynth,1982,A antidiabetic used for fungal infection.,197.7,Active
Drug-3472,Analgesic,Depression,Dizziness,Gel,420 mg,Prescription,BioSynth,2002,A analgesic used for depression.,333.46,Discontinued
Drug-1716,Antiseptic,Pain Relief,"Stomach Upset, Fatigue, Drowsiness",Tablet,857 mg,OTC,HealthPlus,1984,A antiseptic used for pain relief.,246.57,Discontinued
Drug-1579,Antidiabetic,Infection,Drowsiness,Tablet,784 mg,OTC,HealthPlus,1985,A antidiabetic used for infection.,196.02,Discontinued
Drug-8250,Antifungal,Diabetes,"Dizziness, Stomach Upset, Fatigue",Syrup,831 mg,OTC,HealthPlus,1992,A antifungal used for diabetes.,29.48,Active
Drug-9153,Antiviral,Virus Management,"Stomach Upset, Headache",Syrup,591 mg,Prescription,MediLife,1983,A antiviral used for virus management.,342.47,Discontinued
Drug-9397,Antiviral,Wound Cleaning,"Headache, Fatigue, Stomach Upset",Gel,438 mg,OTC,HealthPlus,2000,A antiviral used for wound cleaning.,195.73,Discontinued
Drug-8959,Antifungal,Diabetes,"Headache, Drowsiness, Stomach Upset",Capsule,,OTC,HealthPlus,1988,A antifungal used for diabetes.,267.12,Active
Drug-9217,Antibiotic,Depression,Dizziness,Cream,961 mg,OTC,MediLife,1987,A antibiotic used for depression.,155.78,Discontinued
Drug-9664,Analgesic,Infection,"Fatigue, Dizziness",Capsule,698 mg,OTC,Global Remedies,2005,A analgesic used for infection.,362.7,Discontinued
Drug-2116,Analgesic,Allergy Relief,"Fatigue, Headache",,965 mg,OTC,MediLife,2016,A analgesic used for allergy relief.,358.28,Active
Drug-6612,Antifungal,Allergy Relief,"Drowsiness, Dizziness, Nausea",Injection,312 mg,OTC,MediLife,2016,A antifungal used for allergy relief.,23.98,Discontinued
Drug-1268,Antifungal,Anxiety Reduction,"Dizziness, Nausea",Capsule,218 mg,Prescription,MediLife,2020,A antifungal used for anxiety reduction.,244.83,Active
Drug-1575,Antihistamine,Pain Relief,Drowsiness,Tablet,611 mg,Prescription,BioSynth,1994,A antihistamine used for pain relief.,92.97,Discontinued
Drug-1082,Antibiotic,Fungal Infection,"Stomach Upset, Fatigue, Drowsiness",Gel,627 mg,Prescription,BioSynth,1980,A antibiotic used for fungal infection.,175.6,Discontinued
Drug-8080,Antifungal,Pain Relief,"Dizziness, Stomach Upset",Injection,768 mg,OTC,HealthPlus,1985,A antifungal used for pain relief.,163.73,Active
Drug-9009,Antihypertensive,Infection,Dizziness,Injection,675 mg,OTC,MediLife,1985,A antihypertensive used for infection.,59.72,Discontinued
Drug-6745,Antihistamine,Fungal Infection,Fatigue,Capsule,849 mg,Prescription,MediLife,2004,A antihistamine used for fungal infection.,419.2,Discontinued
Drug-4549,Analgesic,Infection,Fatigue,Gel,103 mg,OTC,PharmaCorp,2010,A analgesic used for infection.,115.39,Active
Drug-7479,Sedative,Blood Pressure Control,"Stomach Upset, Dizziness, Drowsiness",Tablet,603 mg,Prescription,Global Remedies,2002,A sedative used for blood pressure control.,76.33,Discontinued
Drug-4581,Antihistamine,Virus Management,Fatigue,Gel,353 mg,Prescription,MediLife,2001,A antihistamine used for virus management.,18.77,Discontinued
Drug-8151,Sedative,Depression,"Headache, Dizziness, Stomach Upset",Gel,844 mg,OTC,PharmaCorp,2011,A sedative used for depression.,62.71,Active
Drug-6323,Antifungal,Pain Relief,Dizziness,Gel,342 mg,OTC,PharmaCorp,1988,A antifungal used for pain relief.,140.74,Discontinued
Drug-6730,Antifungal,Pain Relief,"Stomach Upset, Fatigue",Syrup,,OTC,Global Remedies,1995,A antifungal used for pain relief.,446.93,Discontinued
Drug-8554,Antidiabetic,Anxiety Reduction,"Drowsiness, Dizziness, Stomach Upset",Injection,586 mg,OTC,PharmaCorp,1986,A antidiabetic used for anxiety reduction.,78.81,Active
Drug-2017,Analgesic,Pain Relief,"Drowsiness, Stomach Upset",Tablet,601 mg,OTC,PharmaCorp,2012,A analgesic used for pain relief.,353.62,Active
Drug-6068,Analgesic,Wound Cleaning,Stomach Upset,Cream,440 mg,Prescription,PharmaCorp,2005,A analgesic used for wound cleaning.,9.65,Active
Drug-3366,Antidepressant,Blood Pressure Control,Dizziness,Capsule,565 mg,Prescription,BioSynth,2019,A antidepressant used for blood pressure control.,49.14,Discontinued
Drug-9058,Analgesic,Fungal Infection,Fatigue,Injection,241 mg,OTC,MediLife,1989,A analgesic used for fungal infection.,477.48,Active
Drug-1128,Antihypertensive,Pain Relief,"Drowsiness, Stomach Upset, Nausea",Gel,613 mg,Prescription,PharmaCorp,1990,A antihypertensive used for pain relief.,75.93,Active
Drug-3734,Antifungal,Blood Pressure Control,"Dizziness, Headache, Nausea",Injection,927 mg,Prescription,BioSynth,1996,A antifungal used for blood pressure control.,381.35,Discontinued
Drug-5969,Antihistamine,Fungal Infection,Stomach Upset,Capsule,543 mg,OTC,Global Remedies,1987,A antihistamine used for fungal infection.,375.92,Discontinued
Drug-4043,Antihistamine,Infection,"Stomach Upset, Fatigue",Capsule,97 mg,Prescription,MediLife,1980,A antihistamine used for infection.,24.6,Discontinued
Drug-4877,Analgesic,Anxiety Reduction,"Nausea, Drowsiness, Dizziness",Syrup,589 mg,Prescription,Global Remedies,1991,A analgesic used for anxiety reduction.,312.27,Active
Drug-9558,Antidepressant,Pain Relief,"Headache, Fatigue",Cream,31 mg,OTC,PharmaCorp,1990,A antidepressant used for pain relief.,6.3,Active
Drug-4314,Antidepressant,Wound Cleaning,"Dizziness, Stomach Upset",Syrup,982 mg,OTC,HealthPlus,2023,A antidepressant used for wound cleaning.,470.43,Active
Drug-8621,Antihypertensive,Allergy Relief,"Stomach Upset, Dizziness",Injection,178 mg,OTC,MediLife,1998,A antihypertensive used for allergy relief.,404.68,Discontinued
Drug-7452,Antiviral,Infection,"Dizziness, Stomach Upset",Cream,312 mg,Prescription,PharmaCorp,2019,A antiviral used for infection.,232.32,Discontinued
Drug-8497,Antiviral,Wound Cleaning,Stomach Upset,Injection,325 mg,OTC,Global Remedies,1991,A antiviral used for wound cleaning.,363.93,Active
Drug-7082,Antiseptic,Anxiety Reduction,Fatigue,Capsule,181 mg,OTC,BioSynth,2000,A antiseptic used for anxiety reduction.,153.7,Active
Drug-4653,Antiseptic,Blood Pressure Control,"Stomach Upset, Drowsiness, Dizziness",Capsule,,Prescription,HealthPlus,2018,A antiseptic used for blood pressure control.,92.91,Active
Drug-3872,Antidiabetic,Diabetes,Nausea,Cream,546 mg,Prescription,Global Remedies,2003,A antidiabetic used for diabetes.,215.34,Active
Drug-4100,Antihistamine,Virus Management,"Nausea, Stomach Upset, Drowsiness",Gel,203 mg,Prescription,HealthPlus,1997,A antihistamine used for virus management.,358.07,Active
Drug-1153,Antiseptic,Pain Relief,"Headache, Nausea, Fatigue",Capsule,36 mg,OTC,PharmaCorp,1984,A antiseptic used for pain relief.,298.83,Discontinued
Drug-4777,Antiseptic,Fungal Infection,"Fatigue, Stomach Upset",Tablet,500 mg,OTC,HealthPlus,2018,A antiseptic used for fungal infection.,385.35,Discontinued
Drug-9361,Antibiotic,Diabetes,"Headache, Dizziness",Tablet,790 mg,Prescription,Global Remedies,2005,A antibiotic used for diabetes.,495.75,Discontinued
Drug-4895,Analgesic,Pain Relief,Drowsiness,Syrup,795 mg,Prescription,HealthPlus,1988,A analgesic used for pain relief.,159.88,Discontinued
Drug-8953,Antidepressant,Wound Cleaning,"Headache, Nausea, Stomach Upset",Tablet,413 mg,OTC,MediLife,2010,A antidepressant used for wound cleaning.,401.17,Discontinued
Drug-6014,Antiseptic,Wound Cleaning,Nausea,Injection,266 mg,Prescription,Global Remedies,2011,A antiseptic used for wound cleaning.,383.07,Active
Drug-4541,Antidiabetic,Depression,Drowsiness,Syrup,673 mg,OTC,BioSynth,1998,A antidiabetic used for depression.,131.92,Active
Drug-7969,Antidepressant,Anxiety Reduction,"Stomach Upset, Fatigue",Gel,134 mg,OTC,MediLife,2018,A antidepressant used for anxiety reduction.,159.6,Discontinued
Drug-4391,Antifungal,Diabetes,"Headache, Dizziness, Nausea",,,Prescription,Global Remedies,1981,A antifungal used for diabetes.,107.9,Active
Drug-1706,Antihistamine,Diabetes,"Fatigue, Headache",Gel,142 mg,Prescription,MediLife,2001,A antihistamine used for diabetes.,266.65,Discontinued
Drug-8825,Antiviral,Diabetes,"Dizziness, Fatigue",Capsule,948 mg,OTC,BioSynth,2006,A antiviral used for diabetes.,371.63,Active
Drug-8690,Antibiotic,Anxiety Reduction,"Fatigue, Stomach Upset, Headache",Tablet,291 mg,Prescription,PharmaCorp,1987,A antibiotic used for anxiety reduction.,253.3,Active
Drug-9752,Antidiabetic,Allergy Relief,"Drowsiness, Nausea",Tablet,378 mg,Prescription,PharmaCorp,1982,A antidiabetic used for allergy relief.,272.1,Active
Drug-1537,Antiviral,Allergy Relief,"Headache, Drowsiness, Stomach Upset",Gel,947 mg,Prescription,BioSynth,2020,A antiviral used for allergy relief.,285.07,Discontinued
Drug-5465,Antihypertensive,Blood Pressure Control,Fatigue,Injection,938 mg,OTC,HealthPlus,1984,A antihypertensive used for blood pressure control.,365.28,Discontinued
Drug-3346,Antiseptic,Fungal Infection,"Stomach Upset, Drowsiness, Nausea",Capsule,147 mg,Prescription,Global Remedies,2020,A antiseptic used for fungal infection.,358.67,Discontinued
Drug-4951,Analgesic,Anxiety Reduction,"Dizziness, Stomach Upset, Drowsiness",Capsule,178 mg,Prescription,MediLife,1983,A analgesic used for anxiety reduction.,6.19,Discontinued
Drug-8569,Sedative,Anxiety Reduction,"Stomach Upset, Nausea",Capsule,252 mg,OTC,MediLife,2016,A sedative used for anxiety reduction.,285.87,Discontinued
Drug-9516,Analgesic,Allergy Relief,"Dizziness, Fatigue",Injection,,OTC,Global Remedies,2006,A analgesic used for allergy relief.,142.05,Discontinued
Drug-2153,Antifungal,Infection,"Headache, Stomach Upset, Fatigue",Tablet,113 mg,OTC,Global Remedies,1992,A antifungal used for infection.,80.24,Discontinued
Drug-5006,Analgesic,Depression,"Drowsiness, Nausea, Fatigue",Gel,341 mg,Prescription,HealthPlus,2014,A analgesic used for depression.,223.4,Discontinued
Drug-9190,Analgesic,Fungal Infection,"Headache, Stomach Upset, Drowsiness",Gel,294 mg,OTC,MediLife,2016,A analgesic used for fungal infection.,5.38,Discontinued
Drug-3553,Sedative,Infection,"Headache, Fatigue, Stomach Upset",Cream,649 mg,Prescription,Global Remedies,1990,A sedative used for infection.,91.94,Discontinued
Drug-1596,Antihypertensive,Wound Cleaning,"Drowsiness, Nausea, Fatigue",Capsule,725 mg,OTC,PharmaCorp,2008,A antihypertensive used for wound cleaning.,464.47,Discontinued
Drug-2387,Antibiotic,Infection,"Dizziness, Stomach Upset",Gel,48 mg,OTC,Global Remedies,2008,A antibiotic used for infection.,319.42,Discontinued
Drug-3779,Antibiotic,Anxiety Reduction,Stomach Upset,Cream,,OTC,Global Remedies,1993,A antibiotic used for anxiety reduction.,218.31,Discontinued
Drug-8098,Antibiotic,Fungal Infection,"Nausea, Stomach Upset, Drowsiness",Tablet,439 mg,OTC,BioSynth,1983,A antibiotic used for fungal infection.,415.97,Discontinued
Drug-7925,Antibiotic,Depression,"Nausea, Drowsiness",Tablet,74 mg,Prescription,BioSynth,2015,A antibiotic used for depression.,172.97,Active
Drug-4641,Analgesic,Fungal Infection,Nausea,Capsule,854 mg,Prescription,BioSynth,2018,A analgesic used for fungal infection.,187.91,Discontinued
Drug-7100,Sedative,Diabetes,"Dizziness, Nausea",Syrup,656 mg,Prescription,BioSynth,2006,A sedative used for diabetes.,479.54,Discontinued
Drug-3420,Antihypertensive,Diabetes,"Fatigue, Dizziness",Capsule,906 mg,Prescription,Global Remedies,2010,A antihypertensive used for diabetes.,36.7,Active
Drug-5196,Sedative,Depression,Dizziness,Syrup,643 mg,OTC,HealthPlus,2005,A sedative used for depression.,94.45,Active
Drug-1521,Antihistamine,Diabetes,Stomach Upset,Gel,133 mg,Prescription,Global Remedies,1999,A antihistamine used for diabetes.,39,Active
Drug-8184,Antihistamine,Fungal Infection,"Fatigue, Stomach Upset, Nausea",Tablet,473 mg,OTC,PharmaCorp,2012,A antihistamine used for fungal infection.,203.88,Active
Drug-6750,Antidepressant,Diabetes,"Stomach Upset, Nausea, Fatigue",Capsule,783 mg,OTC,HealthPlus,2007,A antidepressant used for diabetes.,100.11,Active
Drug-7146,Sedative,Fungal Infection,Headache,Syrup,,Prescription,Global Remedies,2002,A sedative used for fungal infection.,257.51,Active
Drug-2251,Analgesic,Pain Relief,"Dizziness, Headache",Cream,800 mg,OTC,MediLife,1981,A analgesic used for pain relief.,426.82,Discontinued
Drug-8301,Analgesic,Infection,"Nausea, Stomach Upset, Dizziness",,219 mg,Prescription,Global Remedies,2021,A analgesic used for infection.,160.25,Active
Drug-8303,Antiseptic,Diabetes,"Fatigue, Drowsiness, Dizziness",Syrup,724 mg,OTC,PharmaCorp,2020,A antiseptic used for diabetes.,44.09,Active
Drug-9379,Sedative,Virus Management,"Drowsiness, Nausea",Capsule,426 mg,OTC,HealthPlus,2002,A sedative used for virus management.,498.55,Active
Drug-1391,Antiviral,Wound Cleaning,Dizziness,Cream,303 mg,OTC,Global Remedies,1995,A antiviral used for wound cleaning.,305.46,Discontinued
Drug-3384,Sedative,Fungal Infection,"Headache, Stomach Upset",Capsule,846 mg,Prescription,MediLife,1993,A sedative used for fungal infection.,222.62,Discontinued
Drug-5506,Antiviral,Fungal Infection,"Headache, Fatigue, Nausea",Cream,148 mg,Prescription,BioSynth,2022,A antiviral used for fungal infection.,329.63,Discontinued
Drug-1407,Sedative,Virus Management,Dizziness,Tablet,49 mg,OTC,HealthPlus,1985,A sedative used for virus management.,158,Active
Drug-8806,Antidiabetic,Pain Relief,Drowsiness,Injection,699 mg,Prescription,Global Remedies,1991,A antidiabetic used for pain relief.,131.6,Active
Drug-3233,Antidepressant,Depression,Drowsiness,Tablet,918 mg,Prescription,Global Remedies,2019,A antidepressant used for depression.,58.02,Active
Drug-8536,Antihistamine,Anxiety Reduction,"Dizziness, Drowsiness, Fatigue",Capsule,396 mg,OTC,Global Remedies,2005,A antihistamine used for anxiety reduction.,374.01,Active
Drug-8659,Antibiotic,Diabetes,"Fatigue, Headache, Stomach Upset",Syrup,689 mg,Prescription,BioSynth,2020,A antibiotic used for diabetes.,368.74,Discontinued
Drug-1599,Sedative,Wound Cleaning,"Fatigue, Dizziness",Gel,247 mg,OTC,MediLife,2011,A sedative used for wound cleaning.,386.26,Discontinued
Drug-3447,Antifungal,Fungal Infection,"Headache, Dizziness",Syrup,,OTC,BioSynth,1989,A antifungal used for fungal infection.,272.39,Active
Drug-8790,Antihypertensive,Pain Relief,"Nausea, Headache, Drowsiness",Gel,593 mg,Prescription,MediLife,1991,A antihypertensive used for pain relief.,340.56,Discontinued
Drug-4759,Sedative,Infection,"Drowsiness, Headache",Injection,337 mg,OTC,Global Remedies,2021,A sedative used for infection.,404.32,Active
Drug-8349,Sedative,Blood Pressure Control,"Nausea, Headache, Dizziness",Tablet,199 mg,Prescription,HealthPlus,1992,A sedative used for blood pressure control.,188.61,Active
Drug-1286,Antihypertensive,Fungal Infection,Nausea,Tablet,193 mg,OTC,PharmaCorp,1989,A antihypertensive used for fungal infection.,216.45,Active
Drug-9398,Antihypertensive,Infection,Stomach Upset,Capsule,984 mg,Prescription,HealthPlus,2021,A antihypertensive used for infection.,116.1,Discontinued
Drug-6903,Antibiotic,Fungal Infection,Nausea,Syrup,770 mg,Prescription,MediLife,1983,A antibiotic used for fungal infection.,257.59,Discontinued
Drug-5186,Antidiabetic,Pain Relief,"Nausea, Dizziness",Injection,716 mg,Prescription,HealthPlus,2005,A antidiabetic used for pain relief.,403.25,Active
Drug-2035,Antifungal,Depression,Nausea,Injection,566 mg,Prescription,BioSynth,1982,A antifungal used for depression.,412.48,Discontinued
Drug-2064,Antifungal,Infection,"Drowsiness, Fatigue, Stomach Upset",Cream,466 mg,OTC,Global Remedies,1992,A antifungal used for infection.,277.75,Discontinued
Drug-9892,Antibiotic,Anxiety Reduction,"Headache, Fatigue",Gel,99 mg,OTC,MediLife,2012,A antibiotic used for anxiety reduction.,476.03,Discontinued
Drug-3058,Antiseptic,Infection,"Fatigue, Headache, Dizziness",Capsule,912 mg,Prescription,PharmaCorp,2008,A antiseptic used for infection.,493.65,Discontinued
Drug-6565,Antifungal,Diabetes,Stomach Upset,Cream,,OTC,Global Remedies,2000,A antifungal used for diabetes.,383.73,Discontinued
Drug-3572,Sedative,Allergy Relief,"Dizziness, Headache, Nausea",Cream,475 mg,Prescription,BioSynth,1980,A sedative used for allergy relief.,59.08,Active
Drug-2614,Antiviral,Diabetes,"Fatigue, Drowsiness",Syrup,615 mg,Prescription,HealthPlus,2004,A antiviral used for diabetes.,323.92,Discontinued
Drug-3144,Antiseptic,Virus Management,"Stomach Upset, Dizziness, Fatigue",Cream,792 mg,OTC,BioSynth,1985,A antiseptic used for virus management.,378.62,Discontinued
Drug-6868,Antiseptic,Wound Cleaning,"Headache, Dizziness, Nausea",Gel,304 mg,OTC,HealthPlus,1981,A antiseptic used for wound cleaning.,301.36,Active
Drug-9326,Antidepressant,Pain Relief,Nausea,Cream,347 mg,OTC,HealthPlus,2015,A antidepressant used for pain relief.,350.34,Discontinued
Drug-7119,Antibiotic,Fungal Infection,"Nausea, Dizziness",,551 mg,OTC,Global Remedies,2022,A antibiotic used for fungal infection.,148.66,Discontinued
Drug-6192,Antidiabetic,Fungal Infection,Dizziness,Gel,105 mg,Prescription,MediLife,2022,A antidiabetic used for fungal infection.,387.38,Discontinued
Drug-5589,Analgesic,Anxiety Reduction,"Headache, Drowsiness",Capsule,367 mg,OTC,PharmaCorp,2005,A analgesic used for anxiety reduction.,148.61,Discontinued
Drug-4823,Antidiabetic,Anxiety Reduction,"Fatigue, Headache, Nausea",Injection,798 mg,OTC,PharmaCorp,2000,A antidiabetic used for anxiety reduction.,281.5,Discontinued
Drug-7360,Antidepressant,Pain Relief,"Stomach Upset, Headache, Nausea",Syrup,247 mg,Prescription,MediLife,2002,A antidepressant used for pain relief.,199.87,Discontinued
Drug-9956,Antihypertensive,Allergy Relief,Drowsiness,Injection,292 mg,Prescription,MediLife,2003,A antihypertensive used for allergy relief.,394.59,Discontinued
Drug-5187,Antihypertensive,Diabetes,"Fatigue, Nausea",Capsule,46 mg,OTC,MediLife,1981,A antihypertensive used for diabetes.,453.26,Discontinued
Drug-3950,Antihypertensive,Blood Pressure Control,"Drowsiness, Stomach Upset, Fatigue",Gel,913 mg,OTC,BioSynth,1987,A antihypertensive used for blood pressure control.,332.13,Discontinued
Drug-9559,Antihistamine,Diabetes,"Dizziness, Stomach Upset, Drowsiness",Tablet,,OTC,BioSynth,2014,A antihistamine used for diabetes.,106.16,Active
Drug-4414,Antidiabetic,Blood Pressure Control,Stomach Upset,Tablet,57 mg,OTC,PharmaCorp,2017,A antidiabetic used for blood pressure control.,142.85,Active
Drug-9704,Antifungal,Anxiety Reduction,"Headache, Fatigue",Tablet,407 mg,Prescription,MediLife,1983,A antifungal used for anxiety reduction.,174.37,Discontinued
Drug-7398,Antihistamine,Blood Pressure Control,"Fatigue, Drowsiness",Capsule,182 mg,Prescription,MediLife,2012,A antihistamine used for blood pressure control.,275.56,Discontinued
Drug-4655,Antihypertensive,Pain Relief,Nausea,Injection,704 mg,Prescription,HealthPlus,2016,A antihypertensive used for pain relief.,408.16,Active
Drug-2326,Antidiabetic,Fungal Infection,"Drowsiness, Nausea",Capsule,449 mg,Prescription,Global Remedies,1985,A antidiabetic used for fungal infection.,173.26,Active
Drug-6678,Sedative,Diabetes,"Stomach Upset, Dizziness",Capsule,608 mg,Prescription,HealthPlus,1995,A sedative used for diabetes.,306.49,Active
Drug-9174,Antidepressant,Wound Cleaning,"Drowsiness, Dizziness",Tablet,596 mg,Prescription,HealthPlus,1981,A antidepressant used for wound cleaning.,473.24,Active
Drug-5301,Antidepressant,Virus Management,Drowsiness,Tablet,662 mg,OTC,Global Remedies,2008,A antidepressant used for virus management.,432.47,Active
Drug-3687,Antihistamine,Anxiety Reduction,"Headache, Stomach Upset, Nausea",Injection,49 mg,Prescription,PharmaCorp,2010,A antihistamine used for anxiety reduction.,22.72,Active
Drug-7621,Antifungal,Depression,Dizziness,Tablet,816 mg,OTC,BioSynth,1982,A antifungal used for depression.,146.48,Active
Drug-1161,Sedative,Anxiety Reduction,"Dizziness, Drowsiness, Headache",Gel,150 mg,Prescription,BioSynth,2023,A sedative used for anxiety reduction.,7.14,Active
Drug-3062,Antiviral,Depression,"Stomach Upset, Headache",Tablet,129 mg,Prescription,BioSynth,2000,A antiviral used for depression.,349.3,Active
Drug-8876,Antidepressant,Fungal Infection,Drowsiness,Gel,821 mg,Prescription,Global Remedies,2014,A antidepressant used for fungal infection.,382.34,Active
Drug-2525,Sedative,Anxiety Reduction,Drowsiness,Tablet,159 mg,Prescription,PharmaCorp,2023,A sedative used for anxiety reduction.,32.34,Discontinued
Drug-3094,Antidiabetic,Allergy Relief,"Nausea, Fatigue",Capsule,705 mg,Prescription,BioSynth,1997,A antidiabetic used for allergy relief.,272.74,Active
Drug-5403,Antidepressant,Anxiety Reduction,Stomach Upset,Capsule,460 mg,OTC,BioSynth,2008,A antidepressant used for anxiety reduction.,212.39,Active
Drug-4284,Antidiabetic,Infection,"Dizziness, Drowsiness",Gel,539 mg,OTC,PharmaCorp,1995,A antidiabetic used for infection.,366.47,Active
